label,subject,body
3,Job Offer: Senior Sales Associate Position,"Hello Taylor Davis,  Congratulations on your successful interview! We are pleased to offer you the position of Senior Sales Associate at Connect Retail Solutions. Your sales expertise and customer-centric approach make you a valuable addition to our sales team. The offer includes a competitive salary, benefits, and additional perks. Please review the attached offer letter for more details. We look forward to having you contribute to our sales success!  Best, Robert Turner Hiring Manager Connect Retail Solutions"
1,Next Steps: Cognitive Ability Test for Marketing Coordinator Role,"Hi Alex Thompson,  Thank you for your interest in the Marketing Coordinator position at Innovate Marketing Agency. To move forward with your application, we request you to complete a cognitive ability test. This test will assess your critical thinking skills and decision-making abilities. The link to the test is provided here: [Test Link]. We value your commitment to this process and look forward to reviewing your results.  Warm regards, Sarah Miller Talent Acquisition Specialist Innovate Marketing Agency"
1,Analytical Aptitude Test: Project Manager Position,"Hi Rachel Miller,  Thank you for your application for the Project Manager position at Stellar Solutions. We are impressed with your background. As the next step, we request you to complete an analytical aptitude test specific to this role. The test link is attached for your convenience. Your commitment to this process is highly valued, and we look forward to reviewing your results.  Regards, Ethan Adams HR Director Stellar Solutions"
1,Sales Associate Role: Analytical Aptitude Test Invitation,"Hello Emma Baker,  Greetings! Your application for the Sales Associate position at Connect Retail has caught our attention. To proceed with your application, we invite you to take an analytical aptitude test tailored to this role. Please find the link to the test attached. We appreciate your cooperation and look forward to gaining further insights into your capabilities.  Best, Robert Miller Hiring Manager Connect Retail"
1,Next Steps: Cognitive Aptitude Test for Sales Representative Position,"Hi Lily Thompson,  Thank you for expressing interest in the Sales Representative position at Dynamic Solutions. To move forward, we request you to complete a cognitive aptitude test tailored to this role. The link to the test is provided here: [Test Link]. Your commitment to this process is highly valued, and we look forward to evaluating your results.  Best, Henry Turner CEO Dynamic Solutions"
2,Interview Invitation: Sales Associate Role,"Hello Emma Baker,  Congratulations on making it to the next round! Your application for the Sales Associate position at Connect Retail has been selected for an interview. We would like to discuss your sales skills further. Please reply with your availability, and we will schedule the interview. We look forward to meeting you.  Best, Robert Miller Hiring Manager Connect Retail"
1,Invitation to Complete Online Assessment for Software Engineer Position,"Dear John Smith,  We hope this message finds you well. We were impressed with your application for the Software Engineer position at ABC Tech Solutions. As the next step in our hiring process, we invite you to complete an online assessment to further evaluate your skills and compatibility with the role. Please find the link to the assessment attached. We appreciate your prompt attention to this matter and look forward to reviewing your results.  Best regards, Emily Johnson HR Manager ABC Tech Solutions"
0,Thank You – Excited to Explore the Possibilities!,"Hi Lily Thompson,  Your application for the Sales Representative position at Dynamic Solutions is received with enthusiasm. We value innovation and commitment, and we're excited about the prospect of having you contribute to our dynamic culture. Stay tuned for updates!  Best, Henry Turner CEO Dynamic Solutions"
3,Job Offer: Data Analyst Position,"Hello Jessica Brown,  We are pleased to offer you the position of Data Analyst at XYZ Analytics. Your analytical skills and attention to detail are exactly what we need for this role. The offer includes a competitive salary, benefits, and other advantages. Please find the attached offer letter for comprehensive details. We are excited about the prospect of you joining our team and contributing to our success. Congratulations!  Best, Michael Davis Hiring Manager XYZ Analytics"
1,Online Coding Challenge: Graphic Designer Position,"Hey Samantha Garcia,  Greetings! Your application for the Graphic Designer position at Creative Designs Studio has caught our attention. As the next step, we invite you to take an online coding challenge to assess your technical skills. Please find the link to the challenge attached. We value your commitment to this process and look forward to reviewing your results.  Cheers, Brandon Lewis Creative Director Creative Designs Studio"
2,Invitation for Interview: Software Engineer Position,"Dear John Smith,  We hope this message finds you well. We are pleased to inform you that your application for the Software Engineer position at ABC Tech Solutions has been shortlisted for the next stage. We would like to invite you for an interview to further discuss your qualifications and explore your fit for the role. Please let us know your availability for the upcoming week. We appreciate your interest and look forward to meeting you.  Best regards, Emily Johnson HR Manager ABC Tech Solutions"
1,Action Required: Complete Your Data Analyst Position Assessment,"Hello Jessica Brown,  We trust this email finds you in good spirits. Your application for the Data Analyst position at XYZ Analytics has been positively received. To move forward, we request you to complete an online assessment tailored to this role. Please follow the attached link to access the assessment. We appreciate your dedication to this process and anticipate your timely response.  Best, Michael Davis Hiring Manager XYZ Analytics"
1,Invitation to Analytical Skills Test for UX Designer Role,"Dear Kyle Anderson,  We hope this message finds you well. Your application for the UX Designer position at Tech Innovations Inc. has caught our eye. To proceed with your application, we kindly ask you to complete an analytical skills test designed for this role. The link to the test is provided here: [Test Link]. We appreciate your dedication to this process and anticipate your timely response.  Best regards, Victoria Foster Recruitment Manager Tech Innovations Inc."
3,Job Offer: Senior Financial Analyst Position,"Dear Ethan Harris,  We are excited to extend a job offer for the Senior Financial Analyst position at Global Finance Solutions. Your in-depth financial analysis skills and strategic thinking make you a key asset to our finance team. The offer includes a competitive salary, benefits, and additional incentives. Please review the attached offer letter for detailed information. We look forward to having you contribute to our financial success!  Thank you, Olivia Robinson HR Coordinator Global Finance Solutions"
0,Confirmation of Your Job Application,"Hello Jessica Brown,  This is to confirm that we have received your application for the Data Analyst position at XYZ Analytics. Thank you for your interest in joining our team. Our hiring team will carefully review your credentials, and you can expect to hear from us regarding the status of your application shortly.  Best, Michael Davis Hiring Manager XYZ Analytics"
0,Thank You for Your Meticulous Application,"Dear Oliver Davis,  We appreciate the care and detail you put into your application for the Human Resources Manager position at People First Company. Your thoroughness does not go unnoticed, and we're eager to delve into your qualifications further.  Warm regards, Sophia Clark HR Director People First Company"
2,Final Interview Invitation: Graphic Designer Position,"Hey Samantha Garcia,  Congratulations on advancing to the final interview stage! Your application for the Graphic Designer position at Creative Designs Studio has been impressive. We would like to invite you for the final interview to discuss your creative approach in more detail. Please find a time in your schedule for the upcoming week. We appreciate your dedication and look forward to the final stages of the hiring process.  Cheers, Brandon Lewis Creative Director Creative Designs Studio"
1,Next Steps: Cognitive Ability Test for Sales Representative Position,"Hi Lily Thompson,  Thank you for expressing interest in the Sales Representative position at Dynamic Solutions. To move forward, we request you to complete a cognitive ability test tailored to this role. The link to the test is provided here: [Test Link]. Your commitment to this process is highly valued, and we look forward to evaluating your results.  Best, Henry Turner CEO Dynamic Solutions"
3,Job Offer: Marketing Coordinator Role,"Hi Alex Thompson,  Congratulations! We are thrilled to offer you the position of Marketing Coordinator at Innovate Marketing Agency. Your skills and enthusiasm stood out, and we believe you will bring a fresh perspective to our team. The offer includes a competitive salary, benefits, and additional perks. Please review the attached offer letter for more details. We look forward to welcoming you to our team and embarking on this exciting journey together.  Warm regards, Sarah Miller Talent Acquisition Specialist Innovate Marketing Agency"
4,Application Update: UX Designer Role,"Dear Kyle Anderson,  Thank you for your application for the UX Designer position at Tech Innovations Inc. After careful consideration, we have chosen to move forward with other candidates who better align with our current needs. We appreciate the creative skills you brought to the application process. Please consider applying for future opportunities with us. Wishing you all the best in your career.  Best regards, Victoria Foster Recruitment Manager Tech Innovations Inc."
1,Project Manager Position: Online Assessment Required,"Hi Rachel Miller,  Thank you for your application for the Project Manager position at Stellar Solutions. We are impressed with your background. As the next step, we request you to complete an online assessment specific to this role. The assessment link is attached for your convenience. Your commitment to this process is highly valued, and we look forward to reviewing your results.  Regards, Ethan Adams HR Director Stellar Solutions"
3,Job Offer: Graphic Designer Position,"Hey Samantha Garcia,  Congratulations! We are excited to offer you the position of Graphic Designer at Creative Designs Studio. Your creativity and design skills set you apart, and we believe you will make significant contributions to our projects. The offer includes a competitive salary, benefits, and additional perks. Please review the attached offer letter for more information. We look forward to having you on board!  Cheers, Brandon Lewis Creative Director Creative Designs Studio"
1,Analytical Aptitude Test: Graphic Designer Position,"Hey Samantha Garcia,  Greetings! Your application for the Graphic Designer position at Creative Designs Studio has caught our attention. As the next step, we invite you to take an analytical aptitude test to assess your cognitive and creative thinking. Please find the link to the test attached. We value your commitment to this process and look forward to reviewing your results.  Cheers, Brandon Lewis Creative Director Creative Designs Studio"
2,Next Steps: Final Interview for Data Analyst Position,"Hello Jessica Brown,  Great news! You have successfully passed the preliminary interview rounds for the Data Analyst position at XYZ Analytics. Your skills and experiences have stood out, and we would like to invite you for the final interview. Please let us know your availability for the upcoming week. We appreciate your commitment to the process and look forward to the next phase of the interview process.  Best, Michael Davis Hiring Manager XYZ Analytics"
1,Take the Cognitive Ability Test for Financial Analyst Position Now,"Dear Daniel Wilson,  We appreciate your interest in the Financial Analyst position at Global Investments Corp. To proceed with your application, we request you to complete a cognitive ability test designed for this role. The test link is provided here: [Test Link]. We value your dedication to this process and look forward to evaluating your results.  Thank you, Olivia Turner HR Coordinator Global Investments Corp."
0,Your Application – Next Steps,"Hello Emma Baker,  Thank you for submitting your application for the Sales Associate position at Connect Retail. We're currently reviewing applications, and you can expect to hear from us regarding the next steps within the next two weeks.  Best, Robert Miller Hiring Manager Connect Retail"
3,Job Offer: Senior UX Designer Role,"Dear Emma Carter,  We are pleased to extend a job offer for the Senior UX Designer position at Tech Innovate Solutions. Your exceptional user experience design skills and creativity make you a standout candidate. The offer includes a competitive salary, benefits, and opportunities for career growth. Please find the attached offer letter for detailed information. We look forward to having you elevate our user experience design!  Best regards, Daniel Foster Recruitment Manager Tech Innovate Solutions"
3,Job Offer: Financial Analyst Position,"Dear Daniel Wilson,  We are thrilled to extend a job offer for the Financial Analyst position at Global Investments Corp. Your financial expertise and analytical skills make you an ideal fit for our team. The offer includes a competitive salary, benefits, and other advantages. Please find the attached offer letter for detailed information. We look forward to welcoming you to our organization and achieving great success together. Congratulations!  Thank you, Olivia Turner HR Coordinator Global Investments Corp."
2,Interview Invitation: Marketing Coordinator Role,"Hi Alex Thompson,  Congratulations! Your application for the Marketing Coordinator position at Innovate Marketing Agency has caught our attention. We are pleased to invite you for an interview to delve deeper into your experiences and skills. Please reply to this email with your preferred time for the interview, and we will arrange accordingly. We look forward to getting to know you better.  Warm regards, Sarah Miller Talent Acquisition Specialist Innovate Marketing Agency"
2,Invitation for Final Interview: UX Designer Role,"Dear Kyle Anderson,  Congratulations on successfully passing the initial interview stages! Your application for the UX Designer position at Tech Innovations Inc. has been outstanding. We would like to invite you for the final interview to explore your user experience design skills in more detail. Please reply with your availability, and we will arrange the interview. We appreciate your commitment to the process and look forward to the final stages of the hiring process.  Best regards, Victoria Foster Recruitment Manager Tech Innovations Inc."
4,Application Outcome: Project Manager Position,"Hi Rachel Miller,  We want to express our appreciation for your interest in the Project Manager position at Stellar Solutions. After careful review, we regret to inform you that we have selected another candidate for this role. Your project management skills are noteworthy, and we encourage you to consider applying for future opportunities with our organization. Thank you for your understanding, and we wish you success in your career endeavors.  Regards, Ethan Adams HR Director Stellar Solutions"
1,Action Required: Complete Your Analytical Thinking Test for Data Analyst Position,"Hello Jessica Brown,  We hope this email finds you in good spirits. Your application for the Data Analyst position at XYZ Analytics has been positively received. As the next step, we request you to complete an analytical thinking test designed for this role. Please follow the attached link to access the test. We appreciate your dedication to this process and anticipate your timely response.  Best, Michael Davis Hiring Manager XYZ Analytics"
2,Interview Invitation: Project Manager Position,"Hi Rachel Miller,  Thank you for your application for the Project Manager position at Stellar Solutions. We are impressed with your qualifications, and we would like to invite you for an interview to discuss your project management experience. Please share your availability, and we will schedule the interview accordingly. We look forward to meeting you.  Regards, Ethan Adams HR Director Stellar Solutions"
0,Acknowledgment of Your Application,"Dear Daniel Wilson,  We acknowledge receipt of your application for the Financial Analyst position at Global Investments Corp. Your qualifications are currently being reviewed, and we will contact you with further details shortly.  Thank you for your interest in Global Investments Corp.  Sincerely, Olivia Turner HR Coordinator Global Investments Corp."
4,Application Status: Marketing Coordinator Role,"Hi Alex Thompson,  We want to express our gratitude for your interest in the Marketing Coordinator position at Innovate Marketing Agency. After careful consideration, we have decided to move forward with other candidates at this time. We appreciate the effort you put into the application process and value your skills. Please consider applying for future opportunities with us. We wish you the best in your career endeavors.  Warm regards, Sarah Miller Talent Acquisition Specialist Innovate Marketing Agency"
2,Final Interview Invitation: Sales Associate Role,"Hello Emma Baker,  Congratulations on advancing to the final round! Your application for the Sales Associate position at Connect Retail has been selected for the final interview. We would like to discuss your sales skills in more detail. Please reply with your availability for the upcoming week. We appreciate your commitment to the process and look forward to the final stages of the hiring process.  Best, Robert Miller Hiring Manager Connect Retail"
1,Invitation to Cognitive Ability Test for UX Designer Role,"Dear Kyle Anderson,  We hope this message finds you well. Your application for the UX Designer position at Tech Innovations Inc. has caught our eye. To proceed with your application, we kindly ask you to complete a cognitive ability test designed for this role. The link to the test is provided here: [Test Link]. We appreciate your dedication to this process and anticipate your timely response.  Best regards, Victoria Foster Recruitment Manager Tech Innovations Inc."
1,Invitation to Problem-Solving Assessment for Software Engineer Position,"Dear John Smith,  We hope this message finds you well. As part of our thorough evaluation process for the Software Engineer position at ABC Tech Solutions, we would like to invite you to take a problem-solving assessment. This test is designed to assess your critical thinking skills and problem-solving abilities. Please find the link to the assessment attached. We appreciate your dedication to this process and look forward to gaining further insights into your capabilities.  Best regards, Emily Johnson HR Manager ABC Tech Solutions"
3,Job Offer: Senior Sales Manager Position,"Hi Michael Johnson,  Congratulations! We are excited to offer you the position of Senior Sales Manager at Sales Dynamics Corp. Your extensive sales experience and leadership qualities make you an excellent fit for our team. The offer includes a competitive salary, benefits, and additional incentives. Please review the attached offer letter for more details. We look forward to having you lead our sales efforts!  Best, Sophia Turner CEO Sales Dynamics Corp."
2,Final Interview Invitation for Human Resources Manager Position,"Dear Oliver Davis,  Congratulations! We are pleased to inform you that you have successfully passed the initial interview rounds for the Human Resources Manager position at People First Company. Your HR expertise has impressed us. We would like to invite you for the final interview to discuss your skills in more detail. Please reply with your availability, and we will arrange the interview. We appreciate your dedication to the process and look forward to the final stages of the hiring process.  Warm regards, Sophia Clark HR Director People First Company"
0,Thank You for Your Job Application,"Dear John Smith,  We sincerely appreciate the time and effort you invested in applying for the Software Engineer position at ABC Tech Solutions. Your application is now under careful review, and we will contact you soon regarding the next steps in our hiring process.  Thank you for considering ABC Tech Solutions as your potential employer.  Best regards, Emily Johnson HR Manager ABC Tech Solutions"
3,Job Offer: Senior Project Manager Position,"Hi Sarah Adams,  Congratulations on your success in the interview process! We are delighted to offer you the position of Senior Project Manager at Dynamic Projects Inc. Your proven project management skills and leadership experience make you an ideal fit. The offer includes a competitive salary, benefits, and additional perks. Please review the attached offer letter for more details. We look forward to having you lead our project teams!  Regards, Michael Turner HR Director Dynamic Projects Inc."
2,Interview Invitation: Sales Representative Position,"Hi Lily Thompson,  Congratulations! Your application for the Sales Representative position at Dynamic Solutions has been selected for the interview stage. We would like to discuss your sales experience further. Please let us know your availability, and we will schedule the interview. We look forward to meeting you.  Best, Henry Turner CEO Dynamic Solutions"
4,Application Status: Financial Analyst Position,"Dear Daniel Wilson,  Thank you for your application for the Financial Analyst position at Global Investments Corp. After thorough consideration, we have decided to move forward with other candidates. We appreciate the time and effort you invested in the application process. Your financial expertise is commendable, and we encourage you to explore other opportunities with our organization in the future. Best wishes in your career pursuits.  Sincerely, Olivia Turner HR Coordinator Global Investments Corp."
1,Invitation to Cognitive Ability Test for Software Engineer Position,"Dear John Smith,  We trust this email finds you well. As part of our thorough evaluation process for the Software Engineer position at ABC Tech Solutions, we would like to invite you to take a cognitive ability test. This test is designed to assess your problem-solving skills and analytical abilities. Please find the link to the test attached. We appreciate your dedication to this process and look forward to gaining further insights into your capabilities.  Best regards, Emily Johnson HR Manager ABC Tech Solutions"
3,Job Offer: Sales Associate Role,"Hello Emma Baker,  Congratulations! We are thrilled to offer you the position of Sales Associate at Connect Retail. Your sales skills and customer-centric approach make you an ideal candidate for this role. The offer includes a competitive salary, benefits, and additional perks. Please review the attached offer letter for more information. We look forward to having you as part of our sales team!  Best, Robert Miller Hiring Manager Connect Retail"
